NomeLoja,EnderecoWeb,Endereco,Cidade,CEP,CNPJ,Horario,GrupoCardapio
Pizzaria Mix,https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-mix-cruz-do-reboucas/06e4eed6-8c88-47ba-82c6-37f3c013dccf,-,-,-,-,"['Segunda-feira - 14:00 às 23:00', 'Terça-feira - 14:00 às 23:00', 'Quarta-feira - 14:00 às 23:00', 'Quinta-feira - 14:00 às 23:00', 'Sexta-feira - 14:00 às 23:00', 'Sábado - 14:00 às 23:00', 'Domingo - 14:00 às 23:00']","['refrigerante', 'milkshake', 'açaí']"
Evinho Burguer,https://www.ifood.com.br/delivery/igarassu-pe/evinho-burguer-encanto-igarassu/99eb571e-85e9-422b-aa75-be0e1ad03d91,"Rua Tente Esquecer, 79 - Encanto Igarassu",Igarassu - PE,53620-095,48.855.685/0001-84,"['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - 18:00 às 22:00', 'Quinta-feira - 18:00 às 22:00', 'Sexta-feira - 16:00 às 22:00', 'Sábado - 17:45 às 22:15', 'Domingo - 16:45 às 22:15']",['-']
Açai da Villa,https://www.ifood.com.br/delivery/igarassu-pe/acai-da-villa-santa-rita/d5c7dd59-a6f3-4b92-9fa8-9142adaaed4b,-,-,-,-,"['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - 17:30 às 22:00', 'Quinta-feira - 17:30 às 22:00', 'Sexta-feira - 17:30 às 22:00', 'Sábado - 17:30 às 22:00', 'Domingo - 17:30 às 22:00']",['açai']
La Casa de Pastel Hamburgueria & Açaí,https://www.ifood.com.br/delivery/igarassu-pe/la-casa-de-pastel-hamburgueria--acai-agamenon-magalhaes/5290caa2-7ef8-4a41-a940-5559cf73d609,-,-,-,-,"['Segunda-feira - Não abre', 'Terça-feira - 17:00 às 23:00', 'Quarta-feira - 17:00 às 23:00', 'Quinta-feira - 17:00 às 23:00', 'Sexta-feira - 17:00 às 23:00', 'Sábado - 17:00 às 23:00', 'Domingo - Não abre']","['promoo ""cupom de r$10""', 'menu', 'bebidas']"
Na Chapa Lanchonete,https://www.ifood.com.br/delivery/igarassu-pe/na-chapa-lanchonete-agamenon-magalhaes/925cf89e-e91b-4b1d-b4ad-03e4083a7f85,-,-,-,-,"['Segunda-feira - 15:00 às 21:00', 'Terça-feira - 15:00 às 21:00', 'Quarta-feira - 15:00 às 21:00', 'Quinta-feira - 15:00 às 21:00', 'Sexta-feira - 15:00 às 22:00', 'Sábado - 17:00 às 22:00', 'Domingo - 17:00 às 22:00']","['hamburguer', 'batata frita', 'combos', 'salgados', 'mini salgados e doces', 'baguete', 'açaí + creme', 'bebidas']"
Lanche Mania,https://www.ifood.com.br/delivery/paulista-pe/lanche-mania-artur-lundgren-ii/c3979b49-6af7-4b3a-bf1e-a4557f7fcd11,"Rua Petrolina, 12 - Artur Lundgren Ii",Paulista - PE,53416-680,37.373.386/0001-97,"['Segunda-feira - Não abre', 'Terça-feira - 18:00 às 23:00', 'Quarta-feira - 18:00 às 23:00', 'Quinta-feira - 00:00 às 02:00 - 07:00 às 23:59', 'Sexta-feira - 00:00 às 02:00 - 07:00 às 23:59', 'Sábado - 00:00 às 02:00 - 07:00 às 23:59', 'Domingo - Não abre']",['-']
Senhor Batata,https://www.ifood.com.br/delivery/abreu-e-lima-pe/senhor-batata-caetes-i/483bf29c-f4ac-4ca1-ac18-9303a8ee0e92,-,-,-,-,"['Segunda-feira - 10:00 às 22:00', 'Terça-feira - 10:00 às 22:00', 'Quarta-feira - 10:00 às 22:00', 'Quinta-feira - 10:00 às 22:00', 'Sexta-feira - 10:00 às 22:00', 'Sábado - 10:00 às 22:00', 'Domingo - 10:00 às 22:00']","['coxinhas', 'salgados']"
Bom Doce Doce,https://www.ifood.com.br/delivery/paulista-pe/bom-doce-doce-paratibe/86a71283-81d9-4fd8-af5a-812f4a2249a6,"Rua do Jasmim, 106 - Paratibe",Paulista - PE,53413-020,35.707.191/0001-00,"['Segunda-feira - 09:45 às 22:00', 'Terça-feira - 10:00 às 23:59', 'Quarta-feira - 09:00 às 23:59', 'Quinta-feira - 09:00 às 23:59', 'Sexta-feira - 09:00 às 23:59', 'Sábado - 09:00 às 23:59', 'Domingo - 09:00 às 23:59']",['-']
Marinana Doces / Picolé Gourmet,https://www.ifood.com.br/delivery/paulista-pe/marinana-doces---picole-gourmet-pau-amarelo/a638b6ec-37ee-4004-82bc-fd6fd9efb9fb,"Rua Cecília Carneiro da Silva, 819 - Pau Amarelo",Paulista - PE,53431-135,40.489.326/0001-49,"['Segunda-feira - 08:00 às 23:00', 'Terça-feira - 08:00 às 22:30', 'Quarta-feira - 08:00 às 22:30', 'Quinta-feira - 08:00 às 22:30', 'Sexta-feira - 08:00 às 22:30', 'Sábado - 08:00 às 23:30', 'Domingo - 08:00 às 23:30']",['-']
Cantinho da Maria,https://www.ifood.com.br/delivery/paulista-pe/cantinho-da-maria-pau-amarelo/b52d496b-d1de-4b4c-9fe8-2f405ce64f22,"Rua União Soviética, 453 - Pau Amarelo",Paulista - PE,53433-730,42.154.361/0001-32,"['Segunda-feira - 08:00 às 23:00', 'Terça-feira - 08:00 às 23:00', 'Quarta-feira - 08:00 às 23:00', 'Quinta-feira - 08:00 às 23:00', 'Sexta-feira - 08:00 às 23:00', 'Sábado - 08:00 às 23:00', 'Domingo - 08:00 às 23:00']",['-']
Evellyn Doceria Café,https://www.ifood.com.br/delivery/paulista-pe/evellyn-doceria-cafe-jardim-paulista/37cf89c3-3fc1-4434-9232-0a64139b7251,"Av Presidente Tancredo Neves, 9 - Jardim Paulista",Paulista - PE,53409-190,17.481.735/0001-87,"['Segunda-feira - 17:30 às 23:00', 'Terça-feira - 17:30 às 23:00', 'Quarta-feira - 17:30 às 23:00', 'Quinta-feira - 17:30 às 23:00', 'Sexta-feira - 17:30 às 23:00', 'Sábado - 17:30 às 23:00', 'Domingo - 17:30 às 23:00']",['-']
Esther Variedades,https://www.ifood.com.br/delivery/paulista-pe/esther-variedades-maranguape-i/7687c63d-718e-4bd6-b35f-e39811882cac,"Rua Doze, 235 - Maranguape I",Paulista - PE,53444-540,45.464.391/0001-33,"['Segunda-feira - 11:00 às 23:59', 'Terça-feira - 11:00 às 23:59', 'Quarta-feira - 11:00 às 23:59', 'Quinta-feira - 11:00 às 23:59', 'Sexta-feira - 11:00 às 23:59', 'Sábado - 11:00 às 23:59', 'Domingo - 11:00 às 23:59']",['-']
Ponto do Sabor,https://www.ifood.com.br/delivery/igarassu-pe/ponto-do-sabor-jardim-boa-sorte/d7612dae-dea1-46e4-9024-1178afdf6fd1,-,-,-,-,"['Segunda-feira - 16:30 às 21:45', 'Terça-feira - 16:30 às 23:00', 'Quarta-feira - 16:30 às 23:00', 'Quinta-feira - 16:30 às 23:00', 'Sexta-feira - 16:30 às 23:00', 'Sábado - 16:30 às 23:00', 'Domingo - 16:30 às 23:00']","['hambúrgueres', 'hot dog', 'refrigerantes', 'sucos / com leite', 'sucos/ sem leite']"
Club do Bolo,https://www.ifood.com.br/delivery/igarassu-pe/club-do-bolo-santa-maria/e0292a19-a5db-42a1-9e4f-4e8c2c6cb0b9,"Rua J J Silva, 6 - Santa Maria",Igarassu - PE,53620-443,28.103.797/0001-71,"['Segunda-feira - 11:00 às 19:00', 'Terça-feira - 11:00 às 19:00', 'Quarta-feira - 11:00 às 19:00', 'Quinta-feira - 11:00 às 19:00', 'Sexta-feira - 11:00 às 19:00', 'Sábado - 11:00 às 19:00', 'Domingo - Não abre']",['-']
Frango Frito Crocante,https://www.ifood.com.br/delivery/igarassu-pe/frango-frito-crocante-cruz-do-reboucas/d202dff5-3915-4979-8eaa-6d481aca5d2c,-,-,-,-,"['Segunda-feira - 18:00 às 22:00', 'Terça-feira - 18:00 às 22:00', 'Quarta-feira - 18:00 às 22:00', 'Quinta-feira - 18:00 às 22:00', 'Sexta-feira - 18:00 às 22:00', 'Sábado - 18:00 às 22:00', 'Domingo - 18:00 às 22:00']",['chicken burger']
Delícia da Rúbia,https://www.ifood.com.br/delivery/igarassu-pe/delicia-da-rubia-cruz-do-reboucas/a759fa25-4522-456a-9243-755e0f5ec810,"Rua Josina Maria de Vasconcelos, 2 - Cruz do Rebouças",Igarassu - PE,53625-055,48.055.895/0001-98,"['Segunda-feira - 11:00 às 23:00', 'Terça-feira - 11:00 às 23:00', 'Quarta-feira - 11:00 às 23:00', 'Quinta-feira - 11:00 às 23:00', 'Sexta-feira - 11:00 às 23:00', 'Sábado - 11:00 às 23:00', 'Domingo - 11:00 às 23:00']",['-']
Garagem Nordestina,https://www.ifood.com.br/delivery/igarassu-pe/garagem-nordestina-cruz-do-reboucas/dd0d9575-c10b-46e6-adc0-02c34574d807,"Rua Vitorino Vieira de Fraga, 70 - Cruz do Rebouças",Igarassu - PE,53625-050,41.198.640/0001-35,"['Segunda-feira - 17:00 às 23:00', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - 17:30 às 23:00', 'Sexta-feira - 17:30 às 23:00', 'Sábado - 17:30 às 23:00', 'Domingo - 17:30 às 23:00']",['-']
Dindin Gourmet,https://www.ifood.com.br/delivery/igarassu-pe/dindin-gourmet-umbura/d04c418f-e66c-4ce1-9e69-86f9d62a51fd,-,-,-,-,"['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - Não abre']","['dindin', 'bebidas', 'petisco']"
Refeições da Nina,https://www.ifood.com.br/delivery/igarassu-pe/refeicoes-da-nina-umbura/d76db037-7ab3-4715-8d97-48422c8c1fb7,-,-,-,-,"['Segunda-feira - 10:00 às 14:30', 'Terça-feira - 10:00 às 14:30', 'Quarta-feira - 10:00 às 14:30', 'Quinta-feira - 10:00 às 14:30', 'Sexta-feira - 10:00 às 14:30', 'Sábado - 10:00 às 14:30', 'Domingo - 10:00 às 14:30']","['pratos especiais', 'pratos simples']"
Refeições,https://www.ifood.com.br/delivery/igarassu-pe/refeicoes-cruz-do-reboucas/17f9825f-56a8-455c-83a2-ed327b4f3b65,-,-,-,-,"['Segunda-feira - 07:00 às 08:00', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - Não abre']","['pratos especiais', 'pratos simples', 'suco']"
Japa 25,https://www.ifood.com.br/delivery/igarassu-pe/japa-25-santa-maria/bf09a6e1-707d-4f6a-b25a-c21ea72ad307,"Rua Luciana Paiva de Souza, 10 - Santa Maria",Igarassu - PE,53635-170,33.869.020/0001-52,"['Segunda-feira - Não abre', 'Terça-feira - 21:00 às 23:59', 'Quarta-feira - 00:00 às 01:15 - 21:00 às 23:59', 'Quinta-feira - 00:00 às 00:15 - 21:00 às 23:59', 'Sexta-feira - 00:00 às 01:15 - 21:00 às 23:59', 'Sábado - 00:00 às 01:15 - 21:00 às 23:59', 'Domingo - 00:00 às 01:15 - 22:30 às 23:59']",['-']
A & e Lanches e Sobremesas,https://www.ifood.com.br/delivery/igarassu-pe/a--e-lanches-e-sobremesas-triunfo/0a91fb47-8468-4601-bd1b-e3d4e983e5f5,-,-,-,-,"['Segunda-feira - 11:00 às 15:00 - 18:00 às 23:00', 'Terça-feira - 11:00 às 15:00 - 18:00 às 23:00', 'Quarta-feira - 11:00 às 15:00 - 18:00 às 23:00', 'Quinta-feira - 11:00 às 23:00', 'Sexta-feira - 11:00 às 15:00 - 18:00 às 23:00', 'Sábado - 11:00 às 15:00 - 18:00 às 23:00', 'Domingo - 11:00 às 15:00 - 18:00 às 23:00']","['promoção', 'pastel', 'mousse']"
Pizzaria e Sorveteria 4 Irmãos,https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-e-sorveteria-4-irmaos-cruz-do-reboucas/aa53294f-ae30-47d7-9ec6-09a170c8442a,-,-,-,-,['-'],['-']
Evinho Burger,https://www.ifood.com.br/delivery/igarassu-pe/evinho-burger-encanto-igarassu/81c8e967-c2f0-4b83-8839-c2804aa0078b,-,-,-,-,"['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - 18:00 às 21:45', 'Domingo - Não abre']",['-']
Jota Jota Petisco,https://www.ifood.com.br/delivery/igarassu-pe/jota-jota-petisco-bonfim/306006d3-96d9-4ff1-9b79-73de7ca56d0f,-,-,-,-,"['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - 18:00 às 23:00', 'Sábado - 18:00 às 23:00', 'Domingo - 18:00 às 23:00']","['cupom $', 'combos', 'porções', 'caldos']"
Ponto da Batata,https://www.ifood.com.br/delivery/igarassu-pe/ponto-da-batata-bonfim/eb4f1148-f307-4cb8-9844-ed9493abb2b5,-,-,-,-,"['Segunda-feira - Não abre', 'Terça-feira - 15:00 às 22:00', 'Quarta-feira - 15:00 às 22:00', 'Quinta-feira - 15:00 às 22:00', 'Sexta-feira - 15:00 às 22:00', 'Sábado - 15:00 às 22:00', 'Domingo - 15:00 às 22:00']",['pegue seu código com 10$ de desconto']
Barboza Refeições,https://www.ifood.com.br/delivery/igarassu-pe/barboza-refeicoes-rubina/d05b63fa-0f65-4f91-aca1-faf34b6b0010,-,-,-,-,"['Segunda-feira - 11:00 às 16:00', 'Terça-feira - 11:00 às 22:00', 'Quarta-feira - 11:00 às 22:00', 'Quinta-feira - 11:00 às 22:00', 'Sexta-feira - 11:00 às 22:00', 'Sábado - 11:00 às 22:00', 'Domingo - 11:00 às 22:00']",['almoços']
Bora de Açaí!,https://www.ifood.com.br/delivery/igarassu-pe/bora-de-acai-ana-de-albuquerque/6f351f7b-8520-406f-88e7-f7f82e5e3aba,"Rua Paraíba, 55 - Ana de Albuquerque",Igarassu - PE,53630-115,41.119.740/0001-29,"['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - 16:00 às 17:00', 'Domingo - 17:15 às 23:00']",['-']
Chama Petiscaria,https://www.ifood.com.br/delivery/igarassu-pe/chama-petiscaria-centro/3b735930-0886-4abc-ab1a-e98ed2b65bbf,"Rua Guilherme Jorge Paes Barreto, 1694 - Centro",Igarassu - PE,53610-090,44.601.504/0001-32,"['Segunda-feira - 17:00 às 23:00', 'Terça-feira - 16:00 às 23:00', 'Quarta-feira - 16:00 às 23:00', 'Quinta-feira - 13:15 às 23:00', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - 16:00 às 23:00']",['-']
Brasa Burguer,https://www.ifood.com.br/delivery/abreu-e-lima-pe/brasa-burguer-desterro-de-abreu-lima/40be9acf-db50-46f5-88e2-f377174f0503,"Rua Princesa Isabel, 475 - Desterro de Abreu Lima",Abreu e Lima - PE,53570-110,31.533.494/0001-01,"['Segunda-feira - Não abre', 'Terça-feira - 00:00 às 04:00 - 06:00 às 23:59', 'Quarta-feira - 00:00 às 23:59', 'Quinta-feira - 00:00 às 03:00 - 06:00 às 23:59', 'Sexta-feira - 00:00 às 04:00 - 06:00 às 23:59', 'Sábado - 17:00 às 23:59', 'Domingo - Não abre']",['-']
